                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7091,                 5.0532,                 3.6324,                0.08759,                0.00316,                0.00013,                  3e-05,                 3.6024,                 4.4603,                 3.3225,               0.091003,             0.00099966,             0.00099966
                      2,                 3.0086,                 4.5484,                 2.9548,                0.00515,                0.11483,                0.00791,                0.00297,                  2.497,                 3.8009,                 2.5933,               0.081996,               0.001993,               0.001993
                      3,                 2.1109,                 3.6538,                 2.2458,                0.56652,                 0.0702,                0.05181,                0.02562,                  1.957,                 3.0683,                 2.1182,               0.072983,              0.0029797,              0.0029797
                      4,                 1.8152,                 3.0796,                 1.9761,                 0.3803,                0.15088,                0.11231,                 0.0631,                  1.736,                  2.625,                 1.9063,               0.063963,              0.0039598,              0.0039598
                      5,                 1.6784,                 2.7302,                 1.8356,                0.36077,                0.20278,                0.16549,                 0.0964,                 1.6183,                 2.3651,                 1.7931,               0.054937,              0.0049333,              0.0049333
                      6,                 1.5833,                 2.5132,                 1.7504,                0.39336,                 0.2331,                 0.2006,                0.12134,                 1.5456,                 2.2176,                 1.7251,               0.045903,              0.0059001,              0.0059001
                      7,                 1.5239,                 2.3575,                 1.6922,                0.40215,                0.25383,                0.22053,                0.13553,                 1.5004,                  2.129,                 1.6824,               0.036864,              0.0068602,              0.0068602
                      8,                 1.4688,                 2.2315,                  1.642,                 0.4063,                0.26099,                0.24036,                0.15008,                 1.4673,                  2.072,                  1.649,               0.027817,              0.0078137,              0.0078137
                      9,                 1.4145,                 2.1015,                 1.5941,                0.41239,                0.26384,                0.24915,                0.15762,                 1.4459,                 2.0516,                 1.6313,               0.018764,              0.0087606,              0.0087606
                     10,                 1.3878,                 2.0265,                 1.5675,                0.42863,                0.27021,                0.25652,                0.16328,                 1.4316,                 2.0504,                 1.6157,              0.0097043,              0.0097009,              0.0097009
                     11,                 1.3667,                  1.979,                 1.5457,                0.43562,                0.26682,                0.25974,                0.16787,                 1.4225,                 2.0819,                 1.6078,               0.009668,               0.009668,               0.009668
